
SCORE,RMSD
-224.776,0.710
-227.276,1.041
-224.408,0.876
-227.179,1.160
-227.193,0.946
-226.541,0.617
-224.460,1.126
-225.421,0.821
-226.987,0.868
-225.075,0.738
-225.223,0.853
-225.204,0.985
-226.112,0.850
-225.268,0.815
-226.614,0.870
-225.162,0.805
-226.953,0.791
-221.982,0.888
-221.820,0.791
-224.052,0.856
-224.148,1.159
-225.369,0.810
-223.774,0.570
-224.464,0.819
-225.200,1.145
-225.711,0.872
-227.371,0.792
